id	sexo	fechnac	educ	catlab	salario	salini	tiempemp	expprev
237	2	6/4/1969	12	1	22650	11250	81	0
238	2	6/15/1969	12	1	27300	11250	81	5
239	2	9/14/1969	12	1	27750	11225	81	5
240	2	6/15/1961	16	3	54375	18750	81	81
241	2	8/27/1936	8	1	17400	10200	81	390
242	2	11/3/1967	12	1	40800	18000	81	4
243	2	2/10/1969	12	1	23100	10950	81	0
244	2	9/15/1969	8	1	22500	10950	81	5
245	2	3/16/1969	12	1	26700	11550	81	18
246	2	1/14/1968	12	1	24900	11250	81	0
247	2	5/13/1968	12	1	19650	10950	81	11
248	2	4/9/1969	12	1	22050	10950	81	9
249	2	5/9/1969	12	1	25500	12000	81	11
250	2	10/10/1966	15	1	28200	12750	81	19
251	2	1/19/1969	12	1	23100	11250	81	13
253	2	2/21/1942	8	1	17100	10200	81	0
259	2	3/15/1969	12	1	19650	11250	80	5
260	2	2/20/1969	12	1	22350	11250	80	5
261	2	3/27/1969	12	1	23400	11250	80	18
262	2	6/20/1968	12	1	24300	10950	80	8
263	2	10/13/1968	12	1	28500	11250	80	4
264	2	1/16/1969	12	1	19950	11250	80	8
265	2	9/24/1969	12	1	23400	11250	80	0
266	2	10/7/1963	16	1	34500	17250	80	3
267	2	8/24/1969	12	1	18150	10950	80	0
277	2	5/20/1965	16	3	43000	17490	79	20
278	2	6/12/1943	8	1	20850	12000	79	70
279	2	4/16/1969	12	1	24450	12000	79	8
280	2	10/20/1969	12	1	24750	10950	79	5
297	2	4/16/1942	12	1	23400	15300	78	209
298	2	8/24/1966	12	1	24600	13500	78	47
299	2	5/11/1965	15	1	32550	18000	78	6
304	2	9/28/1945	15	1	25800	13500	78	51
311	2	2/15/1951	12	1	22500	12000	77	63
312	2	3/12/1963	12	1	25650	14250	77	64
313	2	10/25/1969	12	1	21300	11250	77	0
314	2	11/24/1966	12	1	29850	13500	77	38
315	2	9/19/1969	12	1	34500	12150	77	4
321	2	10/26/1953	12	1	22050	12000	76	6
322	2	3/2/1938	12	1	22500	14250	76	90
323	2	5/13/1967	15	1	25500	12000	76	7
324	2	10/14/1966	12	1	29160	15000	76	22
325	2	11/4/1934	8	1	16800	10200	76	76
331	2	2/4/1942	12	1	24450	12000	75	144
332	2	5/10/1964	16	1	33000	18000	75	26
333	2	1/26/1965	15	1	37050	18000	75	5
334	2	5/9/1966	12	1	24450	10950	75	32
337	2	1/27/1970	12	1	26100	11550	74	2
338	2	8/12/1938	8	1	15900	10200	74	43
339	2	11/7/1942	8	1	23700	10650	74	281
340	2	5/6/1934	8	1	21750	12450	74	318
342	2	6/1/1948	12	1	24450	14250	74	117
345	2	5/5/1969	12	1	22200	16500	73	7
346	2	8/16/1968	15	1	22950	13950	73	22
347	2	8/10/1944	12	1	23100	12000	73	228
348	2	6/11/1962	16	3	56750	30000	73	15
349	2	3/22/1938	17	1	29100	12750	73	375
350	2	4/21/1939	12	1	37650	15750	73	132
351	2	1/27/1966	12	1	27900	13500	73	32
352	2	11/26/1933	8	1	21150	12000	73	159
354	2	5/8/1946	12	1	20550	11250	73	154
357	2	1/18/1932	8	1	17700	10200	72	184
358	2	4/11/1944	15	1	23550	13500	72	49
359	2	6/12/1941	12	1	19950	10200	72	56
360	2	8/11/1968	12	1	29400	15300	72	30
361	2	6/9/1966	12	1	28800	13950	72	18
362	2	4/8/1937	8	1	16950	10200	72	319
364	2	3/26/1947	12	1	17400	10200	72	116
365	2	10/16/1948	8	1	21450	10200	72	194
366	2	3/21/1961	12	1	24750	12000	72	68
367	2	5/22/1942	12	1	16950	10200	72	271
368	2	7/20/1943	12	1	26100	13500	72	169
370	2	1/20/1963	16	1	36600	18000	71	12
371	2	4/5/1966	16	3	58125	18000	71	11
378	2	9/21/1930	8	1	15750	10200	70	275
379	2	5/12/1938	8	1	19650	13050	70	102
380	2	2/22/1941	12	1	21000	13500	70	82
384	2	11/11/1955	12	1	20850	13050	70	127
390	2	11/9/1968	15	1	24150	13500	69	7
391	2	1/12/1969	12	1	24450	12450	69	12
392	2	5/12/1970	12	1	21600	12000	69	0
393	2	6/24/1969	12	1	27900	12450	69	0
394	2	2/4/1970	8	1	29100	12450	69	17
395	2	3/9/1970	12	1	22650	11250	69	2
396	2	8/17/1970	12	1	20850	11250	69	0
397	2	1/17/1970	12	1	22950	12300	69	5
398	2	11/21/1970	12	1	30600	12450	69	5
399	2	2/6/1970	12	1	20400	11250	69	0
400	2	8/6/1969	12	1	23850	12750	69	20
401	2	3/14/1970	12	1	22800	11250	69	0
402	2	2/7/1970	12	1	20700	11250	69	2
403	2	4/28/1970	12	1	21300	11250	69	3
404	2	5/1/1953	12	1	24300	15000	69	121
405	2	7/12/1944	12	1	19650	13950	69	133
410	2	1/9/1942	8	1	25200	18750	68	344
411	2	8/21/1931	12	1	16200	10200	68	180
412	2	6/16/1970	12	1	22800	11250	68	2
413	2	3/13/1966	16	3	43500	19500	68	11
423	2	4/26/1936	12	1	22200	13800	67	196
424	2	7/6/1966	15	1	31350	11100	67	47
425	2	1/26/1942	12	1	20850	13500	67	181
439	2	6/25/1970	12	1	20400	11250	66	0
440	2	11/10/1947	8	1	24150	12750	66	96
441	2	8/2/1949	15	1	23850	13500	66	122
442	2	9/18/1968	12	1	29700	13500	66	26
443	2	2/10/1929	8	1	21600	13500	66	228
444	2	9/16/1961	12	1	24450	15750	66	87
448	2	6/5/1933	12	1	16350	10200	66	163
459	2	2/10/1971	12	1	21750	11250	65	0
460	2	8/12/1969	12	1	22500	12750	65	24
461	2	11/8/1943	8	1	21600	13500	65	173
462	2	10/18/1963	16	3	34410	19500	65	79
463	2	10/15/1934	15	1	20700	14250	65	241
466	2	6/15/1948	12	1	23400	13500	64	198
467	2	8/18/1967	16	1	32850	19500	64	20
468	2	11/28/1965	16	3	55750	19980	64	36
469	2	6/1/1964	15	1	25200	13950	64	57
473	2	11/25/1937	12	1	21450	12750	63	139
474	2	11/5/1968	12	1	29400	14250	63	9
